,title,year,genre,country,avg_vote,budget,worlwide_gross_income
62525,Demonic,2015,"Horror, Mystery, Thriller",USA,5.3,3000000,4476578
62550,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",USA,7.7,170000000,714421503
62576,Price Check,2012,"Comedy, Drama",USA,5.4,2000000,7413
62633,Le sorelle perfette,2015,Comedy,USA,6.0,30000000,105011053
62660,Django Unchained,2012,"Drama, Western",USA,8.4,100000000,425368238
62670,Percy Jackson e gli dei dell'Olimpo - Il mare dei mostri,2013,"Adventure, Family, Fantasy",USA,5.8,90000000,199850315
62677,End of Watch - Tolleranza zero,2012,"Action, Crime, Drama",USA,7.6,7000000,55078146
62685,Tim and Eric's Billion Dollar Movie,2012,Comedy,USA,5.4,3000000,223580
62734,Turbo,2013,"Animation, Adventure, Comedy",USA,6.4,135000000,282570682
62790,The Sessions - Gli incontri,2012,"Biography, Comedy, Drama",USA,7.2,1000000,10656155
62812,Filly Brown,2012,"Drama, Music",USA,5.7,2000000,2940411
62842,The Amazing Spider-Man 2 - Il potere di Electro,2014,"Action, Adventure, Sci-Fi",USA,6.6,200000000,708982323
62843,The Judge,2014,"Crime, Drama",USA,7.4,50000000,84419388
62845,Liberal Arts,2012,"Comedy, Drama, Romance",USA,6.7,2000000,1150681
62855,Musical Chairs,2011,"Drama, Romance",USA,4.8,2500000,31478
62864,Hello Herman,2012,Drama,USA,5.8,1500000,8437
62869,Sparkle - La luce del successo,2012,"Drama, Music",USA,5.7,14000000,24637800
62883,The Darkness,2016,"Horror, Thriller",USA,4.4,4000000,10898293
62907,Zeroville,2019,"Comedy, Drama, Mystery",USA,4.5,6000000,69396
62931,Best Man Down,2012,"Comedy, Drama",USA,6.4,1500000,1938
62938,Catch .44,2011,"Action, Crime, Drama",USA,4.6,7000000,291742
63010,Il caso Spotlight,2015,"Biography, Crime, Drama",USA,8.1,20000000,98690254
63048,Parker,2013,"Action, Crime, Thriller",USA,6.2,35000000,46922566
63072,Hardflip,2012,"Action, Drama",USA,5.6,1000000,96734
63093,The Call,2013,"Crime, Drama, Horror",USA,6.7,13000000,68572631
63094,I pinguini di Madagascar,2014,"Animation, Adventure, Comedy",USA,6.7,132000000,373515621
63095,Vehicle 19,2013,"Action, Thriller",USA,4.9,5000000,1473445
63106,Magic Mike,2012,"Comedy, Drama",USA,6.1,7000000,167739368
63133,The Wedding Party,2012,"Comedy, Romance",USA,5.3,3000000,12128575
63166,Phantom,2013,"Drama, History, Thriller",USA,5.9,18000000,1197759
63172,The Investigator,2013,"Drama, Family, Sport",USA,5.5,1100000,103739
63184,Bastardi in divisa,2014,"Action, Comedy, Crime",USA,6.4,17000000,138224951
63186,Fire with Fire,2012,"Action, Crime, Drama",USA,5.6,10400000,2500277
63190,Officer Down,2013,"Crime, Drama, Thriller",USA,5.5,12000000,255080
63220,Il paradiso per davvero,2014,"Biography, Drama, Family",USA,5.8,12000000,101888019
63240,Big Wedding,2013,"Comedy, Drama, Romance",USA,5.6,35000000,46522137
63241,Volano coltelli,2012,Drama,USA,5.1,7000000,5661
63253,Quel che sapeva Maisie,2012,Drama,USA,7.4,6000000,2711379
63275,Amore inaspettato,2017,"Drama, Romance",USA,5.8,2500000,98280
63280,Mud,2012,Drama,USA,7.4,10000000,32613173
63355,About Cherry,2012,Drama,USA,4.8,2500000,8315
63358,In Our Nature,2012,Drama,USA,5.7,1000000,6543
63391,Le Mans '66 - La grande sfida,2019,"Action, Biography, Drama",USA,8.1,97600000,225508210
63402,C'era una volta a New York,2013,"Drama, Romance",USA,6.6,16000000,5952884
63405,Una notte da leoni 3,2013,"Comedy, Crime, Romance",USA,5.8,103000000,362000072
63406,Hunger Games: La ragazza di fuoco,2013,"Action, Adventure, Mystery",USA,7.5,130000000,865011746
63415,Crooked Arrows,2012,"Drama, Sport",USA,5.9,13000000,1832541
63441,Sex Tape - Finiti in rete,2014,"Comedy, Romance",USA,5.1,40000000,126069509
63460,Noah,2014,"Action, Adventure, Drama",USA,5.7,125000000,359200044
63463,American Assassin,2017,"Action, Thriller",USA,6.2,33000000,67234188
63500,2 gran figli di...,2017,"Comedy, Drama",USA,5.5,25000000,25601244
63509,Un giorno come tanti,2013,"Drama, Romance, Thriller",USA,6.9,18000000,20275812
